 ,TopicId,Title,Format,Structure,LearningResourceType,Difficulty,InteractivityType,AggregationLevel,InteractivityLevel,SemanticDensity,LOexev,MaxScore,MaxLearningTime
21,6,LearningObject21,Audio,Hierarchical,Lecture,6,Active,1,VeryHigh,Medium,Explanatory,32,21
22,6,LearningObject22,Form,Collection,Graph,4,Active,1,Low,High,Evaluative,5,117
23,6,LearningObject23,Form,Linear,ProblemStatement,5,Expositive,2,VeryLow,High,Evaluative,81,114
24,7,LearningObject24,Text,Hierarchical,Exam,9,Mixed,2,VeryLow,VeryLow,Explanatory,70,91
25,7,LearningObject25,Text,Collection,Exam,1,Mixed,2,VeryLow,Medium,Explanatory,88,29
26,7,LearningObject26,Image,Hierarchical,Experiment,9,Expositive,1,Medium,Low,Evaluative,53,76
27,8,LearningObject27,Text,Collection,Questionnaire,8,Expositive,2,Medium,High,Explanatory,65,106
28,8,LearningObject28,Form,Atomic,Slide,8,Mixed,1,VeryHigh,Medium,Evaluative,13,54
29,8,LearningObject29,Image,Hierarchical,Experiment,6,Mixed,1,VeryLow,Medium,Evaluative,52,44
30,9,LearningObject30,Form,Hierarchical,Experiment,2,Active,2,Low,VeryLow,Evaluative,70,74
31,9,LearningObject31,Video,Hierarchical,Exercise,10,Active,2,VeryLow,High,Explanatory,52,7
32,10,LearningObject32,Video,Linear,Exam,10,Expositive,1,High,VeryLow,Explanatory,53,29
33,10,LearningObject33,Video,Linear,Simulation,7,Active,1,High,Medium,Explanatory,83,102
34,10,LearningObject34,Text,Hierarchical,Index,7,Expositive,2,Medium,VeryLow,Explanatory,6,107
35,10,LearningObject35,Form,Atomic,ProblemStatement,9,Active,1,VeryLow,VeryHigh,Evaluative,9,94
36,11,LearningObject36,Audio,Hierarchical,NarrativeText,7,Active,1,Medium,VeryHigh,Explanatory,65,107
37,11,LearningObject37,Text,Hierarchical,Table,1,Active,1,High,Low,Explanatory,13,5
38,11,LearningObject38,Form,Linear,Lecture,6,Mixed,1,High,Low,Evaluative,20,27
39,11,LearningObject39,Audio,Atomic,NarrativeText,9,Active,2,VeryLow,Low,Explanatory,72,78
40,12,LearningObject40,Video,Atomic,Table,2,Expositive,1,VeryHigh,High,Explanatory,29,63
41,12,LearningObject41,Application,Networked,Simulation,3,Active,1,Medium,VeryHigh,Evaluative,74,31
42,12,LearningObject42,Image,Atomic,Exercise,9,Active,2,VeryHigh,High,Evaluative,63,83
43,13,LearningObject43,Audio,Collection,Diagram,3,Expositive,2,Low,VeryHigh,Explanatory,73,35
44,13,LearningObject44,Form,Hierarchical,Exam,5,Mixed,1,High,Medium,Evaluative,81,39
45,14,LearningObject45,Application,Linear,Simulation,10,Expositive,2,Low,VeryHigh,Evaluative,85,39
46,14,LearningObject46,Application,Linear,Exam,3,Expositive,2,Medium,High,Evaluative,69,26
47,14,LearningObject47,Image,Linear,Experiment,3,Mixed,1,Medium,VeryHigh,Evaluative,15,101
48,14,LearningObject48,Text,Atomic,Questionnaire,1,Expositive,2,Medium,High,Explanatory,36,105
49,15,LearningObject49,Form,Collection,Table,10,Expositive,2,Medium,VeryLow,Evaluative,97,15
50,15,LearningObject50,Text,Atomic,SelfAssessment,4,Expositive,2,High,Low,Explanatory,43,83
51,16,LearningObject51,Application,Networked,SelfAssessment,2,Expositive,1,Medium,VeryLow,Evaluative,62,64
52,16,LearningObject52,Image,Collection,Slide,9,Active,1,Low,VeryLow,Evaluative,55,19
53,16,LearningObject53,Video,Networked,ProblemStatement,6,Active,2,Low,Medium,Explanatory,80,25
54,16,LearningObject54,Video,Atomic,Index,7,Mixed,1,Medium,Low,Explanatory,65,76
55,16,LearningObject55,Form,Linear,Graph,4,Mixed,1,Medium,Low,Evaluative,78,71
56,17,LearningObject56,Application,Linear,Simulation,1,Active,1,Low,VeryHigh,Evaluative,75,39
57,17,LearningObject57,Form,Atomic,Table,10,Active,1,Medium,VeryLow,Evaluative,100,48
58,17,LearningObject58,Text,Collection,Exam,3,Expositive,2,Low,High,Explanatory,100,73
59,17,LearningObject59,Text,Linear,Graph,4,Mixed,1,High,VeryLow,Explanatory,62,113
60,17,LearningObject60,Audio,Hierarchical,Index,10,Expositive,1,High,Low,Explanatory,93,3
61,18,LearningObject61,Text,Networked,Index,9,Active,2,VeryLow,Medium,Explanatory,31,18
62,18,LearningObject62,Application,Linear,SelfAssessment,10,Expositive,2,Low,High,Evaluative,99,25
63,19,LearningObject63,Text,Linear,Questionnaire,7,Mixed,2,Medium,Low,Explanatory,3,57
64,19,LearningObject64,Form,Linear,Lecture,1,Active,1,VeryHigh,VeryHigh,Evaluative,96,49
65,19,LearningObject65,Form,Networked,SelfAssessment,5,Active,2,Low,Low,Evaluative,39,13
66,19,LearningObject66,Form,Collection,Simulation,5,Expositive,1,High,High,Evaluative,62,34
67,19,LearningObject67,Form,Networked,Exam,2,Mixed,1,Medium,VeryLow,Evaluative,67,104
68,20,LearningObject68,Audio,Hierarchical,Questionnaire,2,Expositive,1,VeryHigh,VeryLow,Explanatory,39,101
69,20,LearningObject69,Audio,Collection,SelfAssessment,9,Active,1,High,VeryHigh,Explanatory,31,106
70,20,LearningObject70,Image,Networked,Table,8,Active,2,Low,VeryHigh,Evaluative,36,78
71,20,LearningObject71,Form,Networked,Exam,9,Expositive,2,Medium,High,Evaluative,32,43
72,21,LearningObject72,Text,Collection,Diagram,8,Active,2,Low,VeryLow,Explanatory,49,63
73,21,LearningObject73,Form,Collection,Experiment,2,Expositive,2,VeryHigh,VeryHigh,Evaluative,35,12
74,21,LearningObject74,Text,Networked,Diagram,8,Active,2,Medium,High,Explanatory,55,70
75,21,LearningObject75,Audio,Hierarchical,ProblemStatement,4,Expositive,2,Medium,Medium,Explanatory,47,66
76,22,LearningObject76,Image,Hierarchical,Exam,5,Expositive,1,VeryHigh,VeryLow,Evaluative,86,5
77,22,LearningObject77,Video,Collection,Slide,1,Expositive,1,VeryHigh,High,Explanatory,1,18
78,22,LearningObject78,Image,Hierarchical,Exercise,1,Active,2,High,Medium,Evaluative,42,58
79,22,LearningObject79,Audio,Collection,Index,8,Mixed,1,VeryLow,Medium,Explanatory,24,81
80,22,LearningObject80,Audio,Networked,Table,10,Active,1,VeryLow,Low,Explanatory,57,118
81,23,LearningObject81,Image,Collection,Table,6,Mixed,2,VeryLow,VeryHigh,Evaluative,85,119
82,23,LearningObject82,Application,Hierarchical,Table,9,Active,2,Medium,Medium,Evaluative,72,38
83,23,LearningObject83,Video,Linear,Table,2,Active,2,High,Low,Explanatory,7,17
84,23,LearningObject84,Text,Networked,Exercise,9,Mixed,2,Low,Low,Explanatory,90,88
85,24,LearningObject85,Image,Hierarchical,Exercise,10,Expositive,1,Low,Low,Evaluative,14,84
86,24,LearningObject86,Image,Hierarchical,Exam,10,Active,2,VeryHigh,Low,Evaluative,73,95
87,24,LearningObject87,Form,Hierarchical,Slide,6,Expositive,2,VeryLow,Medium,Evaluative,83,15
88,24,LearningObject88,Video,Atomic,Exercise,1,Expositive,2,Medium,Medium,Explanatory,5,19
89,24,LearningObject89,Video,Hierarchical,Index,2,Active,2,VeryHigh,Medium,Explanatory,22,102
90,25,LearningObject90,Image,Atomic,ProblemStatement,4,Active,1,VeryHigh,VeryHigh,Evaluative,86,19
91,25,LearningObject91,Form,Linear,Diagram,3,Expositive,1,High,VeryHigh,Evaluative,77,114
92,25,LearningObject92,Video,Networked,Index,6,Expositive,1,VeryLow,High,Explanatory,7,47
93,25,LearningObject93,Image,Hierarchical,Experiment,7,Active,2,VeryHigh,VeryLow,Evaluative,95,76
94,26,LearningObject94,Form,Linear,SelfAssessment,4,Active,1,Low,VeryLow,Evaluative,78,55
95,26,LearningObject95,Text,Hierarchical,Diagram,1,Mixed,1,Medium,Medium,Explanatory,57,3
96,27,LearningObject96,Form,Linear,SelfAssessment,4,Mixed,2,High,VeryLow,Evaluative,9,50
97,27,LearningObject97,Application,Collection,ProblemStatement,9,Active,2,Medium,High,Evaluative,29,116
98,27,LearningObject98,Image,Collection,Slide,5,Expositive,2,Medium,Medium,Evaluative,6,52
99,27,LearningObject99,Audio,Hierarchical,Lecture,1,Mixed,1,High,VeryHigh,Explanatory,37,109
100,28,LearningObject100,Text,Collection,SelfAssessment,6,Active,2,Low,Low,Explanatory,10,15
101,28,LearningObject101,Application,Hierarchical,Figure,1,Mixed,2,High,VeryHigh,Evaluative,42,115
102,28,LearningObject102,Form,Linear,Figure,3,Mixed,2,Medium,Low,Evaluative,13,103
103,29,LearningObject103,Video,Networked,Graph,6,Mixed,2,VeryLow,VeryHigh,Explanatory,21,97
104,29,LearningObject104,Application,Linear,Simulation,3,Active,2,VeryLow,Low,Evaluative,1,55
105,29,LearningObject105,Form,Networked,Graph,2,Expositive,1,VeryLow,VeryHigh,Evaluative,60,19
106,30,LearningObject106,Audio,Networked,Slide,5,Mixed,2,VeryHigh,VeryHigh,Explanatory,87,52
107,30,LearningObject107,Application,Linear,Simulation,4,Expositive,2,VeryLow,VeryHigh,Evaluative,73,73
108,30,LearningObject108,Form,Atomic,Table,2,Active,2,Low,VeryLow,Evaluative,35,82
109,30,LearningObject109,Form,Hierarchical,Graph,8,Expositive,1,Medium,Medium,Evaluative,39,18
110,31,LearningObject110,Audio,Hierarchical,Diagram,4,Expositive,1,VeryHigh,VeryLow,Explanatory,3,73
111,31,LearningObject111,Form,Collection,Questionnaire,8,Expositive,2,Medium,VeryLow,Evaluative,2,60
112,32,LearningObject112,Application,Networked,Lecture,9,Active,2,Low,High,Evaluative,15,26
113,32,LearningObject113,Application,Atomic,SelfAssessment,10,Expositive,2,VeryLow,High,Evaluative,3,42
114,32,LearningObject114,Audio,Linear,Questionnaire,3,Mixed,2,Low,High,Explanatory,39,65
115,32,LearningObject115,Text,Collection,Lecture,7,Active,1,Medium,VeryLow,Explanatory,100,15
116,32,LearningObject116,Form,Atomic,Slide,8,Active,1,VeryLow,High,Evaluative,43,54
117,33,LearningObject117,Application,Networked,Exam,5,Mixed,2,Low,VeryLow,Evaluative,26,12
118,33,LearningObject118,Video,Hierarchical,Slide,9,Active,1,High,Medium,Explanatory,99,79
119,33,LearningObject119,Image,Networked,Experiment,1,Active,1,VeryHigh,Low,Evaluative,9,54
120,33,LearningObject120,Image,Hierarchical,NarrativeText,8,Active,2,High,Low,Evaluative,88,120
121,33,LearningObject121,Form,Collection,Graph,5,Mixed,1,Medium,High,Evaluative,11,31
122,34,LearningObject122,Application,Atomic,Figure,10,Active,2,High,VeryHigh,Evaluative,38,116
123,34,LearningObject123,Text,Hierarchical,Graph,8,Active,2,Medium,VeryLow,Explanatory,28,40
124,34,LearningObject124,Text,Collection,Lecture,4,Active,1,Medium,Medium,Explanatory,39,67
125,35,LearningObject125,Text,Networked,Experiment,1,Active,2,Medium,VeryHigh,Explanatory,14,52
126,35,LearningObject126,Form,Collection,Simulation,6,Active,2,High,VeryHigh,Evaluative,67,61
127,35,LearningObject127,Image,Networked,ProblemStatement,2,Active,1,VeryLow,Low,Evaluative,86,26
128,35,LearningObject128,Video,Hierarchical,Diagram,9,Expositive,2,High,Low,Explanatory,85,36
129,36,LearningObject129,Text,Collection,Graph,5,Expositive,2,Medium,High,Explanatory,49,73
130,36,LearningObject130,Image,Networked,Exam,10,Active,1,VeryHigh,VeryLow,Evaluative,65,31
131,37,LearningObject131,Video,Linear,Experiment,2,Mixed,1,Low,Medium,Explanatory,96,63
132,37,LearningObject132,Audio,Atomic,Diagram,5,Active,1,Medium,High,Explanatory,89,86
133,37,LearningObject133,Video,Linear,NarrativeText,2,Active,1,High,Low,Explanatory,66,75
134,37,LearningObject134,Text,Atomic,Index,1,Active,2,High,Medium,Explanatory,19,38
135,37,LearningObject135,Application,Collection,NarrativeText,8,Active,2,High,Medium,Evaluative,90,92
136,38,LearningObject136,Application,Collection,NarrativeText,9,Expositive,1,Low,Low,Evaluative,53,74
137,38,LearningObject137,Audio,Networked,NarrativeText,6,Mixed,1,Medium,High,Explanatory,11,14
138,38,LearningObject138,Form,Linear,Questionnaire,8,Mixed,2,VeryHigh,VeryLow,Evaluative,71,4
139,39,LearningObject139,Form,Linear,Diagram,7,Mixed,2,VeryHigh,VeryHigh,Evaluative,30,115
140,39,LearningObject140,Audio,Collection,Questionnaire,8,Mixed,2,VeryHigh,Low,Explanatory,95,39
141,39,LearningObject141,Image,Networked,Questionnaire,8,Mixed,2,VeryLow,VeryLow,Evaluative,28,103
142,40,LearningObject142,Application,Atomic,Table,1,Expositive,2,VeryHigh,VeryHigh,Evaluative,46,19
143,40,LearningObject143,Application,Atomic,NarrativeText,8,Expositive,1,Medium,VeryHigh,Evaluative,35,83
144,40,LearningObject144,Audio,Linear,Simulation,1,Mixed,1,High,VeryHigh,Explanatory,5,116
145,40,LearningObject145,Application,Hierarchical,Exercise,9,Mixed,1,VeryHigh,Medium,Evaluative,61,71
146,41,LearningObject146,Text,Linear,Lecture,5,Active,2,VeryHigh,Low,Explanatory,3,44
147,41,LearningObject147,Form,Atomic,Experiment,5,Active,1,VeryLow,VeryLow,Evaluative,95,106
148,41,LearningObject148,Application,Linear,Table,5,Active,1,Low,Low,Evaluative,6,25
149,41,LearningObject149,Audio,Atomic,Figure,10,Expositive,2,High,High,Explanatory,39,78
150,41,LearningObject150,Audio,Hierarchical,ProblemStatement,3,Active,2,Low,VeryLow,Explanatory,24,111
151,42,LearningObject151,Text,Hierarchical,Lecture,4,Expositive,2,High,Low,Explanatory,94,99
152,42,LearningObject152,Form,Networked,Table,7,Active,2,Medium,High,Evaluative,77,33
153,43,LearningObject153,Application,Hierarchical,Diagram,3,Mixed,2,VeryHigh,Low,Evaluative,61,13
154,43,LearningObject154,Form,Hierarchical,Slide,10,Mixed,1,VeryLow,High,Evaluative,75,82
155,43,LearningObject155,Text,Hierarchical,SelfAssessment,8,Mixed,2,VeryLow,Medium,Explanatory,49,114
156,43,LearningObject156,Application,Collection,Graph,2,Active,1,High,High,Evaluative,18,28
157,44,LearningObject157,Text,Linear,Index,2,Active,1,High,VeryLow,Explanatory,29,57
158,44,LearningObject158,Text,Collection,Exam,7,Active,1,VeryLow,High,Explanatory,64,6
159,44,LearningObject159,Image,Atomic,Exam,8,Mixed,2,Medium,VeryLow,Evaluative,97,31
160,44,LearningObject160,Image,Collection,SelfAssessment,4,Active,2,VeryHigh,Low,Evaluative,62,119
161,45,LearningObject161,Audio,Hierarchical,Diagram,10,Expositive,2,Medium,Low,Explanatory,61,90
162,45,LearningObject162,Application,Networked,Exam,8,Active,2,High,VeryLow,Evaluative,79,44
163,46,LearningObject163,Video,Linear,Table,10,Expositive,2,Medium,VeryLow,Explanatory,18,55
164,46,LearningObject164,Image,Linear,Experiment,5,Expositive,2,VeryHigh,Medium,Evaluative,12,73
165,46,LearningObject165,Video,Linear,Table,8,Mixed,2,VeryHigh,VeryLow,Explanatory,20,2
166,46,LearningObject166,Video,Collection,Graph,1,Expositive,1,High,VeryLow,Explanatory,82,82
167,47,LearningObject167,Text,Linear,NarrativeText,9,Expositive,1,Medium,High,Explanatory,19,60
168,47,LearningObject168,Image,Collection,Index,5,Active,2,High,VeryHigh,Evaluative,13,99
169,47,LearningObject169,Application,Networked,Simulation,9,Active,2,VeryLow,Medium,Evaluative,46,34
170,48,LearningObject170,Text,Networked,Table,4,Expositive,2,Low,Low,Explanatory,86,85
171,48,LearningObject171,Image,Collection,Simulation,10,Active,1,Medium,VeryHigh,Evaluative,77,93
172,48,LearningObject172,Video,Collection,Diagram,1,Mixed,1,VeryHigh,Medium,Explanatory,95,118
173,49,LearningObject173,Application,Collection,Slide,8,Active,1,VeryHigh,Medium,Evaluative,28,99
174,49,LearningObject174,Video,Atomic,Questionnaire,9,Expositive,1,High,VeryLow,Explanatory,45,78
175,50,LearningObject175,Image,Atomic,NarrativeText,7,Mixed,1,VeryHigh,Low,Evaluative,65,104
176,50,LearningObject176,Image,Networked,Experiment,8,Expositive,1,VeryLow,Medium,Evaluative,28,29
177,50,LearningObject177,Audio,Linear,Graph,4,Expositive,2,Low,Low,Explanatory,34,38
178,50,LearningObject178,Audio,Atomic,Diagram,3,Expositive,1,High,Medium,Explanatory,68,1
179,51,LearningObject179,Audio,Collection,Table,2,Active,2,Low,VeryHigh,Explanatory,54,85
180,51,LearningObject180,Image,Linear,Experiment,10,Active,1,VeryLow,Medium,Evaluative,77,46
181,51,LearningObject181,Image,Linear,Diagram,8,Mixed,1,Medium,Low,Evaluative,3,6
182,51,LearningObject182,Image,Linear,Graph,5,Expositive,2,High,Medium,Evaluative,65,67
183,51,LearningObject183,Video,Collection,Diagram,2,Active,2,VeryHigh,Medium,Explanatory,75,116
184,52,LearningObject184,Text,Linear,Lecture,9,Mixed,2,High,VeryLow,Explanatory,22,108
185,52,LearningObject185,Application,Networked,Lecture,4,Mixed,1,Medium,High,Evaluative,63,52
186,52,LearningObject186,Image,Networked,ProblemStatement,5,Active,1,VeryHigh,Low,Evaluative,1,106
187,53,LearningObject187,Text,Networked,Index,8,Mixed,2,VeryLow,VeryLow,Explanatory,68,116
188,53,LearningObject188,Image,Hierarchical,Slide,9,Expositive,2,High,High,Evaluative,1,66
189,53,LearningObject189,Application,Atomic,Graph,8,Expositive,1,VeryLow,Low,Evaluative,59,48
190,53,LearningObject190,Image,Atomic,Experiment,6,Mixed,2,Low,VeryLow,Evaluative,67,118
191,54,LearningObject191,Form,Hierarchical,Experiment,10,Mixed,1,VeryLow,VeryLow,Evaluative,33,98
192,54,LearningObject192,Application,Hierarchical,ProblemStatement,7,Active,1,VeryLow,Medium,Evaluative,46,81
193,54,LearningObject193,Text,Atomic,Slide,10,Mixed,1,Low,Medium,Explanatory,68,20
194,54,LearningObject194,Application,Collection,SelfAssessment,7,Expositive,2,High,VeryHigh,Evaluative,44,70
195,55,LearningObject195,Audio,Atomic,Graph,2,Mixed,1,High,VeryLow,Explanatory,61,69
196,55,LearningObject196,Audio,Collection,Index,7,Mixed,2,Low,VeryLow,Explanatory,1,15
197,55,LearningObject197,Application,Linear,Exercise,7,Expositive,2,High,Low,Evaluative,87,83
198,55,LearningObject198,Form,Hierarchical,Figure,4,Expositive,2,VeryLow,VeryHigh,Evaluative,99,45
199,55,LearningObject199,Form,Atomic,Slide,4,Mixed,1,Medium,VeryHigh,Evaluative,20,9
200,56,LearningObject200,Text,Hierarchical,Diagram,8,Expositive,1,High,Low,Explanatory,9,28
201,56,LearningObject201,Text,Hierarchical,Questionnaire,5,Expositive,1,Low,Medium,Explanatory,23,86
202,56,LearningObject202,Application,Atomic,NarrativeText,10,Active,2,VeryLow,VeryLow,Evaluative,44,115
203,56,LearningObject203,Video,Hierarchical,Experiment,4,Active,1,Medium,Medium,Explanatory,84,111
204,56,LearningObject204,Text,Collection,Experiment,7,Active,1,High,VeryLow,Explanatory,86,26
205,57,LearningObject205,Text,Linear,SelfAssessment,2,Expositive,2,Low,Low,Explanatory,75,52
206,57,LearningObject206,Form,Hierarchical,Table,4,Mixed,1,High,High,Evaluative,60,115
207,58,LearningObject207,Form,Atomic,Slide,6,Expositive,1,Low,High,Evaluative,89,111
208,58,LearningObject208,Audio,Atomic,Exercise,3,Active,2,Medium,VeryHigh,Explanatory,6,36
209,58,LearningObject209,Audio,Linear,Simulation,6,Active,2,High,Low,Explanatory,36,18
210,59,LearningObject210,Image,Atomic,Experiment,6,Active,2,Medium,Medium,Evaluative,16,12
211,59,LearningObject211,Text,Hierarchical,Simulation,2,Mixed,1,Low,VeryHigh,Explanatory,57,112
212,59,LearningObject212,Form,Atomic,NarrativeText,5,Active,1,VeryLow,High,Evaluative,45,55
213,59,LearningObject213,Audio,Linear,Index,4,Expositive,1,High,High,Explanatory,37,87
214,59,LearningObject214,Image,Hierarchical,Lecture,4,Expositive,1,VeryLow,Medium,Evaluative,9,47
215,60,LearningObject215,Video,Hierarchical,Table,10,Expositive,2,Low,Medium,Explanatory,3,23
216,60,LearningObject216,Application,Networked,ProblemStatement,3,Mixed,1,VeryLow,High,Evaluative,8,108
217,60,LearningObject217,Image,Linear,Index,6,Expositive,1,VeryHigh,VeryLow,Evaluative,19,72
218,60,LearningObject218,Video,Hierarchical,NarrativeText,7,Mixed,2,VeryLow,VeryLow,Explanatory,93,69
219,61,LearningObject219,Image,Atomic,Exercise,6,Mixed,2,High,VeryHigh,Evaluative,36,30
220,61,LearningObject220,Form,Collection,NarrativeText,6,Mixed,1,High,Low,Evaluative,16,21
221,61,LearningObject221,Audio,Hierarchical,Graph,10,Active,2,High,Medium,Explanatory,1,91
222,61,LearningObject222,Form,Atomic,NarrativeText,9,Mixed,2,VeryHigh,Medium,Evaluative,87,117
223,61,LearningObject223,Image,Atomic,Experiment,4,Active,1,VeryHigh,VeryLow,Evaluative,59,6
224,62,LearningObject224,Application,Atomic,Exercise,2,Active,1,VeryHigh,Medium,Evaluative,90,119
225,62,LearningObject225,Video,Atomic,Lecture,9,Expositive,1,VeryLow,VeryHigh,Explanatory,22,105
226,63,LearningObject226,Audio,Networked,Slide,5,Active,1,Low,Medium,Explanatory,80,34
227,63,LearningObject227,Image,Networked,Figure,2,Active,2,VeryHigh,VeryLow,Evaluative,48,90
228,63,LearningObject228,Video,Networked,Figure,8,Mixed,1,Medium,Medium,Explanatory,73,11
229,63,LearningObject229,Form,Hierarchical,Slide,1,Mixed,2,Low,Medium,Evaluative,94,32
230,63,LearningObject230,Application,Networked,Table,4,Active,1,Medium,VeryHigh,Evaluative,18,1
231,64,LearningObject231,Video,Networked,Exam,6,Mixed,2,VeryHigh,VeryHigh,Explanatory,6,54
232,64,LearningObject232,Application,Collection,Slide,2,Expositive,1,High,Medium,Evaluative,27,44
233,65,LearningObject233,Application,Networked,Experiment,3,Expositive,1,Low,Low,Evaluative,80,109
234,65,LearningObject234,Audio,Atomic,ProblemStatement,9,Mixed,1,Low,Medium,Explanatory,60,57
235,65,LearningObject235,Form,Atomic,ProblemStatement,10,Expositive,1,VeryLow,High,Evaluative,95,34
236,66,LearningObject236,Form,Atomic,Exam,9,Expositive,2,Medium,High,Evaluative,82,120
237,66,LearningObject237,Text,Networked,NarrativeText,8,Mixed,2,VeryHigh,Medium,Explanatory,5,118
238,66,LearningObject238,Video,Collection,Lecture,10,Expositive,1,Medium,VeryHigh,Explanatory,39,69
239,66,LearningObject239,Video,Hierarchical,SelfAssessment,4,Active,1,VeryLow,High,Explanatory,80,20
240,67,LearningObject240,Audio,Networked,Exercise,8,Expositive,1,VeryHigh,VeryLow,Explanatory,35,39
241,67,LearningObject241,Form,Networked,Table,5,Mixed,1,Low,VeryLow,Evaluative,10,75
242,67,LearningObject242,Image,Atomic,Simulation,6,Active,2,VeryLow,Medium,Evaluative,7,75
243,67,LearningObject243,Form,Networked,NarrativeText,2,Expositive,1,High,High,Evaluative,83,101
244,67,LearningObject244,Audio,Networked,Figure,9,Mixed,1,Low,High,Explanatory,59,13
245,68,LearningObject245,Form,Networked,NarrativeText,10,Mixed,2,VeryLow,Low,Evaluative,10,32
246,68,LearningObject246,Audio,Hierarchical,Simulation,2,Expositive,2,High,Low,Explanatory,7,85
247,68,LearningObject247,Image,Linear,Index,2,Active,2,Medium,VeryHigh,Evaluative,100,88
248,68,LearningObject248,Video,Atomic,Questionnaire,3,Expositive,1,VeryHigh,Low,Explanatory,98,17
249,69,LearningObject249,Video,Atomic,Experiment,9,Expositive,2,VeryLow,High,Explanatory,89,28
250,69,LearningObject250,Application,Collection,Experiment,1,Expositive,1,VeryLow,High,Evaluative,5,13
251,70,LearningObject251,Text,Networked,Table,3,Mixed,2,Low,Low,Explanatory,1,98
252,70,LearningObject252,Video,Linear,ProblemStatement,1,Expositive,1,High,Medium,Explanatory,33,85
253,70,LearningObject253,Text,Atomic,Experiment,7,Active,1,VeryLow,Low,Explanatory,12,25
254,70,LearningObject254,Image,Hierarchical,ProblemStatement,4,Expositive,2,VeryLow,VeryHigh,Evaluative,13,84
255,70,LearningObject255,Text,Atomic,Figure,9,Expositive,1,VeryHigh,VeryLow,Explanatory,44,18
256,71,LearningObject256,Image,Networked,Index,6,Mixed,2,High,High,Evaluative,85,5
257,71,LearningObject257,Audio,Collection,Questionnaire,3,Expositive,1,High,Medium,Explanatory,96,15
258,72,LearningObject258,Audio,Networked,ProblemStatement,4,Mixed,1,VeryLow,High,Explanatory,3,111
259,72,LearningObject259,Form,Linear,Simulation,9,Active,1,Low,VeryHigh,Evaluative,51,112
260,72,LearningObject260,Image,Hierarchical,Slide,3,Expositive,2,VeryHigh,High,Evaluative,40,83
261,72,LearningObject261,Application,Atomic,Simulation,1,Expositive,1,High,Low,Evaluative,65,9
262,72,LearningObject262,Video,Atomic,Figure,5,Mixed,2,High,VeryHigh,Explanatory,41,74
263,73,LearningObject263,Text,Hierarchical,Figure,9,Expositive,2,Low,Low,Explanatory,13,78
264,73,LearningObject264,Video,Atomic,Figure,3,Expositive,2,Low,High,Explanatory,48,2
265,73,LearningObject265,Image,Hierarchical,Diagram,3,Active,2,Low,VeryHigh,Evaluative,32,31
266,74,LearningObject266,Image,Linear,Simulation,5,Active,2,VeryHigh,VeryLow,Evaluative,41,77
267,74,LearningObject267,Audio,Networked,Figure,8,Mixed,1,Low,VeryLow,Explanatory,83,39
268,74,LearningObject268,Application,Atomic,Lecture,4,Mixed,1,Medium,Low,Evaluative,38,7
269,75,LearningObject269,Form,Hierarchical,Lecture,10,Active,1,Low,VeryHigh,Evaluative,19,120
270,75,LearningObject270,Application,Atomic,Exam,3,Expositive,2,VeryHigh,VeryHigh,Evaluative,27,105
